Year,YoY_Growth_Pct
2004,1.6231610134858965
2005,1.310084825636193
2006,1.799857351071421
2007,2.090326982947155
2008,1.4322543683758182
2009,-1.420267344441295
2010,1.3297205676975787
2011,1.4218232792639895
2012,1.2311551952426392
2013,1.3544367700039084
2014,0.40073127798185837
2015,0.6691659384953752
2016,0.614318034182304
2017,2.255814859547267
2018,1.8201413004430567
2019,1.9469064394384894
2020,-5.255678838853117
2021,4.95669258654563
2022,4.088778270521676
2023,3.0157805415537364
2024,1.9459252119519377
2025,1.4384602397433666
