Year,Industry,Employment_thousands
1976,Agriculture,1.1
1976,"Forestry, mining & energy",13.9
1976,Utilities,3.0
1976,Construction,14.7
1976,Manufacturing,18.0
1976,"Wholesale and retail trade [41, 44-",28.8
1976,Transport & warehousing,12.9
1976,Finance & real estate,4.8
1976,Professional services,2.3
1976,Business support,1.7
1976,Education,13.9
1976,Healthcare,17.3
1976,"Info, culture & rec",5.0
1976,Accommodation & food,5.1
1976,Other services,6.7
1976,Public admin,9.9
1976,Agriculture,5.7
1976,"Forestry, mining & energy",1.0
1976,Utilities,0.3
1976,Construction,4.2
1976,Manufacturing,2.8
1976,"Wholesale and retail trade [41, 44-",7.4
1976,Transport & warehousing,2.4
1976,Finance & real estate,1.2
1976,Professional services,0.7
1976,Business support,0.4
1976,Education,3.6
1976,Healthcare,4.3
1976,"Info, culture & rec",1.3
1976,Accommodation & food,2.3
1976,Other services,2.1
1976,Public admin,3.0
1976,Agriculture,7.8
1976,"Forestry, mining & energy",14.0
1976,Utilities,3.3
1976,Construction,23.3
1976,Manufacturing,40.0
1976,"Wholesale and retail trade [41, 44-",55.1
1976,Transport & warehousing,17.3
1976,Finance & real estate,13.1
1976,Professional services,5.7
1976,Business support,4.4
1976,Education,23.0
1976,Healthcare,26.9
1976,"Info, culture & rec",11.2
1976,Accommodation & food,13.1
1976,Other services,12.3
1976,Public admin,27.3
1976,Agriculture,5.8
1976,"Forestry, mining & energy",9.3
1976,Utilities,3.6
1976,Construction,22.8
1976,Manufacturing,34.3
1976,"Wholesale and retail trade [41, 44-",39.6
1976,Transport & warehousing,16.9
1976,Finance & real estate,9.9
1976,Professional services,4.5
1976,Business support,2.7
1976,Education,16.1
1976,Healthcare,18.9
1976,"Info, culture & rec",7.0
1976,Accommodation & food,8.5
1976,Other services,11.5
1976,Public admin,19.6
1976,Agriculture,70.8
1976,"Forestry, mining & energy",53.3
1976,Utilities,24.9
1976,Construction,155.9
1976,Manufacturing,589.4
1976,"Wholesale and retail trade [41, 44-",402.1
1976,Transport & warehousing,151.5
1976,Finance & real estate,124.1
1976,Professional services,66.3
1976,Business support,38.9
1976,Education,182.0
1976,Healthcare,207.6
1976,"Info, culture & rec",79.4
1976,Accommodation & food,111.1
1976,Other services,128.0
1976,Public admin,158.2
1976,Agriculture,111.6
1976,"Forestry, mining & energy",61.5
1976,Utilities,41.7
1976,Construction,243.5
1976,Manufacturing,868.3
1976,"Wholesale and retail trade [41, 44-",594.1
1976,Transport & warehousing,179.1
1976,Finance & real estate,225.4
1976,Professional services,101.9
1976,Business support,72.0
1976,Education,249.1
1976,Healthcare,303.1
1976,"Info, culture & rec",138.2
1976,Accommodation & food,146.8
1976,Other services,150.5
1976,Public admin,253.7
1976,Agriculture,36.1
1976,"Forestry, mining & energy",6.3
1976,Utilities,9.7
1976,Construction,27.2
1976,Manufacturing,56.0
1976,"Wholesale and retail trade [41, 44-",74.3
1976,Transport & warehousing,36.6
1976,Finance & real estate,22.3
1976,Professional services,7.3
1976,Business support,7.4
1976,Education,29.1
1976,Healthcare,40.5
1976,"Info, culture & rec",14.8
1976,Accommodation & food,17.9
1976,Other services,20.4
1976,Public admin,28.6
1976,Agriculture,96.6
1976,"Forestry, mining & energy",8.3
1976,Utilities,3.2
1976,Construction,25.5
1976,Manufacturing,21.7
1976,"Wholesale and retail trade [41, 44-",53.2
1976,Transport & warehousing,18.9
1976,Finance & real estate,13.9
1976,Professional services,8.1
1976,Business support,3.4
1976,Education,25.2
1976,Healthcare,31.5
1976,"Info, culture & rec",14.4
1976,Accommodation & food,15.0
1976,Other services,17.4
1976,Public admin,26.0
1976,Agriculture,110.8
1976,"Forestry, mining & energy",37.9
1976,Utilities,7.3
1976,Construction,78.8
1976,Manufacturing,71.6
1976,"Wholesale and retail trade [41, 44-",138.5
1976,Transport & warehousing,49.2
1976,Finance & real estate,45.3
1976,Professional services,24.6
1976,Business support,13.6
1976,Education,60.8
1976,Healthcare,63.7
1976,"Info, culture & rec",29.5
1976,Accommodation & food,32.9
1976,Other services,36.3
1976,Public admin,54.0
1976,Agriculture,17.6
1976,"Forestry, mining & energy",49.2
1976,Utilities,12.7
1976,Construction,85.6
1976,Manufacturing,158.7
1976,"Wholesale and retail trade [41, 44-",178.4
1976,Transport & warehousing,78.4
1976,Finance & real estate,66.1
1976,Professional services,31.2
1976,Business support,16.9
1976,Education,73.8
1976,Healthcare,79.8
1976,"Info, culture & rec",45.9
1976,Accommodation & food,60.7
1976,Other services,41.5
1976,Public admin,64.5
1977,Agriculture,1.5
1977,"Forestry, mining & energy",11.6
1977,Utilities,2.7
1977,Construction,14.3
1977,Manufacturing,18.3
1977,"Wholesale and retail trade [41, 44-",24.2
1977,Transport & warehousing,12.9
1977,Finance & real estate,5.8
1977,Professional services,2.9
1977,Business support,2.0
1977,Education,13.7
1977,Healthcare,19.0
1977,"Info, culture & rec",5.9
1977,Accommodation & food,6.3
1977,Other services,7.5
1977,Public admin,12.1
1977,Agriculture,5.6
1977,"Forestry, mining & energy",1.1
1977,Utilities,0.4
1977,Construction,4.6
1977,Manufacturing,3.0
1977,"Wholesale and retail trade [41, 44-",6.7
1977,Transport & warehousing,2.3
1977,Finance & real estate,1.5
1977,Professional services,0.7
1977,Business support,0.5
1977,Education,3.3
1977,Healthcare,4.1
1977,"Info, culture & rec",1.6
1977,Accommodation & food,2.3
1977,Other services,2.4
1977,Public admin,3.5
1977,Agriculture,7.2
1977,"Forestry, mining & energy",14.1
1977,Utilities,2.6
1977,Construction,22.3
1977,Manufacturing,40.1
1977,"Wholesale and retail trade [41, 44-",51.1
1977,Transport & warehousing,18.0
1977,Finance & real estate,14.0
1977,Professional services,6.1
1977,Business support,4.5
1977,Education,23.5
1977,Healthcare,27.0
1977,"Info, culture & rec",11.0
1977,Accommodation & food,13.4
1977,Other services,14.1
1977,Public admin,29.4
1977,Agriculture,4.9
1977,"Forestry, mining & energy",9.8
1977,Utilities,3.7
1977,Construction,19.8
1977,Manufacturing,33.6
1977,"Wholesale and retail trade [41, 44-",41.2
1977,Transport & warehousing,16.4
1977,Finance & real estate,10.7
1977,Professional services,3.3
1977,Business support,2.8
1977,Education,17.5
1977,Healthcare,19.3
1977,"Info, culture & rec",8.1
1977,Accommodation & food,9.4
1977,Other services,10.7
1977,Public admin,17.1
1977,Agriculture,64.3
1977,"Forestry, mining & energy",52.3
1977,Utilities,23.2
1977,Construction,158.8
1977,Manufacturing,563.6
1977,"Wholesale and retail trade [41, 44-",401.7
1977,Transport & warehousing,135.3
1977,Finance & real estate,144.2
1977,Professional services,66.3
1977,Business support,40.3
1977,Education,190.2
1977,Healthcare,214.8
1977,"Info, culture & rec",88.7
1977,Accommodation & food,116.4
1977,Other services,126.5
1977,Public admin,169.4
1977,Agriculture,116.5
1977,"Forestry, mining & energy",62.5
1977,Utilities,44.1
1977,Construction,236.2
1977,Manufacturing,877.1
1977,"Wholesale and retail trade [41, 44-",586.1
1977,Transport & warehousing,180.4
1977,Finance & real estate,235.7
1977,Professional services,118.6
1977,Business support,74.3
1977,Education,254.5
1977,Healthcare,296.0
1977,"Info, culture & rec",145.1
1977,Accommodation & food,174.8
1977,Other services,149.6
1977,Public admin,252.4
1977,Agriculture,41.9
1977,"Forestry, mining & energy",8.2
1977,Utilities,6.4
1977,Construction,24.8
1977,Manufacturing,51.6
1977,"Wholesale and retail trade [41, 44-",71.9
1977,Transport & warehousing,36.5
1977,Finance & real estate,24.8
1977,Professional services,9.4
1977,Business support,6.5
1977,Education,26.6
1977,Healthcare,44.1
1977,"Info, culture & rec",16.0
1977,Accommodation & food,19.4
1977,Other services,19.8
1977,Public admin,30.3
1977,Agriculture,95.9
1977,"Forestry, mining & energy",8.0
1977,Utilities,4.4
1977,Construction,31.0
1977,Manufacturing,20.9
1977,"Wholesale and retail trade [41, 44-",60.0
1977,Transport & warehousing,16.8
1977,Finance & real estate,17.0
1977,Professional services,5.2
1977,Business support,5.0
1977,Education,28.8
1977,Healthcare,35.0
1977,"Info, culture & rec",11.9
1977,Accommodation & food,16.2
1977,Other services,14.3
1977,Public admin,24.9
1977,Agriculture,93.4
1977,"Forestry, mining & energy",46.9
1977,Utilities,7.3
1977,Construction,85.6
1977,Manufacturing,74.5
1977,"Wholesale and retail trade [41, 44-",151.5
1977,Transport & warehousing,50.2
1977,Finance & real estate,52.9
1977,Professional services,28.8
1977,Business support,15.3
1977,Education,66.0
1977,Healthcare,63.9
1977,"Info, culture & rec",31.8
1977,Accommodation & food,40.8
1977,Other services,38.8
1977,Public admin,55.8
1977,Agriculture,20.7
1977,"Forestry, mining & energy",46.8
1977,Utilities,12.5
1977,Construction,91.2
1977,Manufacturing,166.6
1977,"Wholesale and retail trade [41, 44-",179.5
1977,Transport & warehousing,75.8
1977,Finance & real estate,68.2
1977,Professional services,35.0
1977,Business support,17.6
1977,Education,71.8
1977,Healthcare,87.9
1977,"Info, culture & rec",39.7
1977,Accommodation & food,62.1
1977,Other services,42.9
1977,Public admin,70.9
1978,Agriculture,0.8
1978,"Forestry, mining & energy",12.0
1978,Utilities,2.9
1978,Construction,14.2
1978,Manufacturing,19.5
1978,"Wholesale and retail trade [41, 44-",25.6
1978,Transport & warehousing,12.5
1978,Finance & real estate,6.3
1978,Professional services,3.3
1978,Business support,2.0
1978,Education,14.6
1978,Healthcare,19.0
1978,"Info, culture & rec",6.3
1978,Accommodation & food,6.7
1978,Other services,8.1
1978,Public admin,12.2
1978,Agriculture,4.7
1978,"Forestry, mining & energy",1.6
1978,Utilities,0.3
1978,Construction,4.4
1978,Manufacturing,3.7
1978,"Wholesale and retail trade [41, 44-",6.6
1978,Transport & warehousing,2.7
1978,Finance & real estate,1.6
1978,Professional services,0.5
1978,Business support,0.5
1978,Education,3.2
1978,Healthcare,4.6
1978,"Info, culture & rec",1.7
1978,Accommodation & food,2.4
1978,Other services,2.7
1978,Public admin,3.8
1978,Agriculture,7.5
1978,"Forestry, mining & energy",14.9
1978,Utilities,2.6
1978,Construction,23.3
1978,Manufacturing,42.5
1978,"Wholesale and retail trade [41, 44-",52.0
1978,Transport & warehousing,18.5
1978,Finance & real estate,15.3
1978,Professional services,6.6
1978,Business support,4.6
1978,Education,24.7
1978,Healthcare,26.0
1978,"Info, culture & rec",10.4
1978,Accommodation & food,13.8
1978,Other services,14.0
1978,Public admin,29.4
1978,Agriculture,4.2
1978,"Forestry, mining & energy",10.2
1978,Utilities,3.3
1978,Construction,19.7
1978,Manufacturing,37.3
1978,"Wholesale and retail trade [41, 44-",41.7
1978,Transport & warehousing,15.7
1978,Finance & real estate,10.2
1978,Professional services,3.7
1978,Business support,3.0
1978,Education,18.6
1978,Healthcare,22.4
1978,"Info, culture & rec",8.9
1978,Accommodation & food,10.9
1978,Other services,12.7
1978,Public admin,16.7
1978,Agriculture,60.4
1978,"Forestry, mining & energy",54.1
1978,Utilities,24.5
1978,Construction,146.1
1978,Manufacturing,566.7
1978,"Wholesale and retail trade [41, 44-",410.8
1978,Transport & warehousing,143.1
1978,Finance & real estate,152.3
1978,Professional services,69.6
1978,Business support,46.2
1978,Education,184.0
1978,Healthcare,222.8
1978,"Info, culture & rec",88.0
1978,Accommodation & food,120.8
1978,Other services,131.8
1978,Public admin,175.0
1978,Agriculture,115.9
1978,"Forestry, mining & energy",57.0
1978,Utilities,46.9
1978,Construction,229.7
1978,Manufacturing,912.2
1978,"Wholesale and retail trade [41, 44-",614.5
1978,Transport & warehousing,189.2
1978,Finance & real estate,248.1
1978,Professional services,125.3
1978,Business support,78.6
1978,Education,255.8
1978,Healthcare,292.7
1978,"Info, culture & rec",157.8
1978,Accommodation & food,186.8
1978,Other services,158.0
1978,Public admin,255.3
1978,Agriculture,41.1
1978,"Forestry, mining & energy",9.0
1978,Utilities,5.8
1978,Construction,27.3
1978,Manufacturing,53.0
1978,"Wholesale and retail trade [41, 44-",73.5
1978,Transport & warehousing,35.1
1978,Finance & real estate,24.8
1978,Professional services,9.9
1978,Business support,7.2
1978,Education,27.8
1978,Healthcare,42.6
1978,"Info, culture & rec",16.3
1978,Accommodation & food,20.8
1978,Other services,20.9
1978,Public admin,29.3
1978,Agriculture,97.7
1978,"Forestry, mining & energy",9.7
1978,Utilities,3.7
1978,Construction,27.9
1978,Manufacturing,22.0
1978,"Wholesale and retail trade [41, 44-",60.6
1978,Transport & warehousing,18.8
1978,Finance & real estate,18.5
1978,Professional services,4.9
1978,Business support,5.7
1978,Education,27.0
1978,Healthcare,36.6
1978,"Info, culture & rec",12.5
1978,Accommodation & food,16.9
1978,Other services,15.7
1978,Public admin,24.9
1978,Agriculture,80.8
1978,"Forestry, mining & energy",58.0
1978,Utilities,8.6
1978,Construction,103.4
1978,Manufacturing,80.5
1978,"Wholesale and retail trade [41, 44-",155.0
1978,Transport & warehousing,54.6
1978,Finance & real estate,53.6
1978,Professional services,35.3
1978,Business support,18.4
1978,Education,61.8
1978,Healthcare,69.5
1978,"Info, culture & rec",36.2
1978,Accommodation & food,46.7
1978,Other services,40.7
1978,Public admin,56.1
1978,Agriculture,20.9
1978,"Forestry, mining & energy",50.0
1978,Utilities,11.1
1978,Construction,89.1
1978,Manufacturing,177.0
1978,"Wholesale and retail trade [41, 44-",194.2
1978,Transport & warehousing,76.0
1978,Finance & real estate,73.8
1978,Professional services,34.8
1978,Business support,21.0
1978,Education,73.3
1978,Healthcare,95.6
1978,"Info, culture & rec",39.9
1978,Accommodation & food,64.1
1978,Other services,46.2
1978,Public admin,70.6
1979,Agriculture,0.6
1979,"Forestry, mining & energy",16.4
1979,Utilities,3.2
1979,Construction,14.8
1979,Manufacturing,22.7
1979,"Wholesale and retail trade [41, 44-",29.6
1979,Transport & warehousing,11.8
1979,Finance & real estate,6.2
1979,Professional services,3.2
1979,Business support,2.1
1979,Education,16.2
1979,Healthcare,18.0
1979,"Info, culture & rec",5.8
1979,Accommodation & food,6.2
1979,Other services,7.7
1979,Public admin,12.1
1979,Agriculture,4.7
1979,"Forestry, mining & energy",2.0
1979,Utilities,0.3
1979,Construction,4.3
1979,Manufacturing,3.9
1979,"Wholesale and retail trade [41, 44-",6.7
1979,Transport & warehousing,2.1
1979,Finance & real estate,1.8
1979,Professional services,0.9
1979,Business support,0.6
1979,Education,3.0
1979,Healthcare,5.0
1979,"Info, culture & rec",1.9
1979,Accommodation & food,2.7
1979,Other services,2.6
1979,Public admin,3.9
1979,Agriculture,7.1
1979,"Forestry, mining & energy",14.1
1979,Utilities,2.7
1979,Construction,24.0
1979,Manufacturing,44.9
1979,"Wholesale and retail trade [41, 44-",55.0
1979,Transport & warehousing,17.4
1979,Finance & real estate,17.7
1979,Professional services,7.5
1979,Business support,5.0
1979,Education,24.4
1979,Healthcare,28.0
1979,"Info, culture & rec",10.7
1979,Accommodation & food,14.4
1979,Other services,16.0
1979,Public admin,28.3
1979,Agriculture,5.1
1979,"Forestry, mining & energy",10.3
1979,Utilities,2.9
1979,Construction,20.9
1979,Manufacturing,36.3
1979,"Wholesale and retail trade [41, 44-",46.3
1979,Transport & warehousing,15.8
1979,Finance & real estate,10.4
1979,Professional services,5.0
1979,Business support,3.9
1979,Education,18.1
1979,Healthcare,23.5
1979,"Info, culture & rec",8.4
1979,Accommodation & food,11.6
1979,Other services,12.6
1979,Public admin,18.9
1979,Agriculture,60.5
1979,"Forestry, mining & energy",55.7
1979,Utilities,25.0
1979,Construction,131.6
1979,Manufacturing,603.0
1979,"Wholesale and retail trade [41, 44-",424.4
1979,Transport & warehousing,161.3
1979,Finance & real estate,145.4
1979,Professional services,76.5
1979,Business support,49.1
1979,Education,190.5
1979,Healthcare,234.5
1979,"Info, culture & rec",92.4
1979,Accommodation & food,137.8
1979,Other services,129.0
1979,Public admin,175.3
1979,Agriculture,130.4
1979,"Forestry, mining & energy",51.9
1979,Utilities,45.9
1979,Construction,235.7
1979,Manufacturing,976.3
1979,"Wholesale and retail trade [41, 44-",644.2
1979,Transport & warehousing,190.1
1979,Finance & real estate,262.2
1979,Professional services,141.4
1979,Business support,82.3
1979,Education,253.4
1979,Healthcare,308.5
1979,"Info, culture & rec",167.4
1979,Accommodation & food,194.8
1979,Other services,170.1
1979,Public admin,238.1
1979,Agriculture,42.9
1979,"Forestry, mining & energy",9.4
1979,Utilities,5.6
1979,Construction,25.7
1979,Manufacturing,56.9
1979,"Wholesale and retail trade [41, 44-",78.3
1979,Transport & warehousing,35.1
1979,Finance & real estate,23.5
1979,Professional services,12.4
1979,Business support,6.9
1979,Education,28.2
1979,Healthcare,43.1
1979,"Info, culture & rec",16.5
1979,Accommodation & food,21.5
1979,Other services,19.8
1979,Public admin,28.9
1979,Agriculture,97.3
1979,"Forestry, mining & energy",10.7
1979,Utilities,3.2
1979,Construction,28.1
1979,Manufacturing,22.6
1979,"Wholesale and retail trade [41, 44-",64.6
1979,Transport & warehousing,19.6
1979,Finance & real estate,18.6
1979,Professional services,6.3
1979,Business support,6.2
1979,Education,26.8
1979,Healthcare,35.4
1979,"Info, culture & rec",14.3
1979,Accommodation & food,19.5
1979,Other services,16.1
1979,Public admin,27.0
1979,Agriculture,77.3
1979,"Forestry, mining & energy",65.2
1979,Utilities,9.6
1979,Construction,118.2
1979,Manufacturing,87.6
1979,"Wholesale and retail trade [41, 44-",168.1
1979,Transport & warehousing,65.7
1979,Finance & real estate,58.3
1979,Professional services,36.9
1979,Business support,20.9
1979,Education,61.3
1979,Healthcare,72.1
1979,"Info, culture & rec",36.2
1979,Accommodation & food,55.5
1979,Other services,42.0
1979,Public admin,59.0
1979,Agriculture,21.3
1979,"Forestry, mining & energy",57.9
1979,Utilities,10.2
1979,Construction,91.1
1979,Manufacturing,180.9
1979,"Wholesale and retail trade [41, 44-",196.9
1979,Transport & warehousing,88.9
1979,Finance & real estate,76.6
1979,Professional services,41.2
1979,Business support,20.2
1979,Education,72.2
1979,Healthcare,98.8
1979,"Info, culture & rec",42.7
1979,Accommodation & food,71.7
1979,Other services,50.2
1979,Public admin,67.9
1980,Agriculture,0.8
1980,"Forestry, mining & energy",17.7
1980,Utilities,2.7
1980,Construction,14.1
1980,Manufacturing,25.0
1980,"Wholesale and retail trade [41, 44-",29.6
1980,Transport & warehousing,12.3
1980,Finance & real estate,6.5
1980,Professional services,3.3
1980,Business support,2.4
1980,Education,16.4
1980,Healthcare,18.6
1980,"Info, culture & rec",5.5
1980,Accommodation & food,7.5
1980,Other services,7.6
1980,Public admin,12.7
1980,Agriculture,4.7
1980,"Forestry, mining & energy",2.3
1980,Utilities,0.4
1980,Construction,4.0
1980,Manufacturing,4.4
1980,"Wholesale and retail trade [41, 44-",7.2
1980,Transport & warehousing,2.0
1980,Finance & real estate,1.5
1980,Professional services,0.8
1980,Business support,0.7
1980,Education,3.1
1980,Healthcare,5.2
1980,"Info, culture & rec",1.9
1980,Accommodation & food,2.8
1980,Other services,2.8
1980,Public admin,4.1
1980,Agriculture,6.8
1980,"Forestry, mining & energy",15.2
1980,Utilities,2.4
1980,Construction,22.9
1980,Manufacturing,45.5
1980,"Wholesale and retail trade [41, 44-",57.1
1980,Transport & warehousing,15.9
1980,Finance & real estate,18.9
1980,Professional services,7.8
1980,Business support,4.6
1980,Education,24.5
1980,Healthcare,30.5
1980,"Info, culture & rec",11.5
1980,Accommodation & food,16.0
1980,Other services,16.0
1980,Public admin,28.6
1980,Agriculture,5.9
1980,"Forestry, mining & energy",10.6
1980,Utilities,3.2
1980,Construction,19.3
1980,Manufacturing,35.7
1980,"Wholesale and retail trade [41, 44-",44.2
1980,Transport & warehousing,14.4
1980,Finance & real estate,12.8
1980,Professional services,5.5
1980,Business support,4.0
1980,Education,18.6
1980,Healthcare,23.8
1980,"Info, culture & rec",8.6
1980,Accommodation & food,12.4
1980,Other services,13.7
1980,Public admin,21.0
1980,Agriculture,62.6
1980,"Forestry, mining & energy",53.3
1980,Utilities,29.3
1980,Construction,126.4
1980,Manufacturing,619.7
1980,"Wholesale and retail trade [41, 44-",429.3
1980,Transport & warehousing,167.8
1980,Finance & real estate,155.5
1980,Professional services,73.8
1980,Business support,46.0
1980,Education,187.8
1980,Healthcare,253.6
1980,"Info, culture & rec",91.0
1980,Accommodation & food,149.0
1980,Other services,134.3
1980,Public admin,176.7
1980,Agriculture,126.0
1980,"Forestry, mining & energy",65.5
1980,Utilities,49.0
1980,Construction,221.1
1980,Manufacturing,992.7
1980,"Wholesale and retail trade [41, 44-",630.7
1980,Transport & warehousing,198.5
1980,Finance & real estate,273.4
1980,Professional services,146.6
1980,Business support,82.7
1980,Education,255.0
1980,Healthcare,317.2
1980,"Info, culture & rec",168.7
1980,Accommodation & food,210.7
1980,Other services,175.0
1980,Public admin,252.3
1980,Agriculture,42.7
1980,"Forestry, mining & energy",10.3
1980,Utilities,5.8
1980,Construction,25.0
1980,Manufacturing,58.9
1980,"Wholesale and retail trade [41, 44-",75.0
1980,Transport & warehousing,35.6
1980,Finance & real estate,24.8
1980,Professional services,13.3
1980,Business support,7.2
1980,Education,29.2
1980,Healthcare,44.6
1980,"Info, culture & rec",16.4
1980,Accommodation & food,22.3
1980,Other services,19.9
1980,Public admin,31.1
1980,Agriculture,90.7
1980,"Forestry, mining & energy",13.0
1980,Utilities,3.7
1980,Construction,28.9
1980,Manufacturing,21.0
1980,"Wholesale and retail trade [41, 44-",68.1
1980,Transport & warehousing,20.8
1980,Finance & real estate,19.6
1980,Professional services,7.7
1980,Business support,5.6
1980,Education,27.2
1980,Healthcare,34.9
1980,"Info, culture & rec",15.1
1980,Accommodation & food,20.7
1980,Other services,17.1
1980,Public admin,28.9
1980,Agriculture,77.8
1980,"Forestry, mining & energy",72.9
1980,Utilities,10.2
1980,Construction,117.7
1980,Manufacturing,99.3
1980,"Wholesale and retail trade [41, 44-",173.6
1980,Transport & warehousing,69.3
1980,Finance & real estate,63.6
1980,Professional services,43.7
1980,Business support,23.9
1980,Education,59.6
1980,Healthcare,78.9
1980,"Info, culture & rec",35.5
1980,Accommodation & food,65.2
1980,Other services,46.5
1980,Public admin,64.8
1980,Agriculture,18.9
1980,"Forestry, mining & energy",69.8
1980,Utilities,12.1
1980,Construction,95.0
1980,Manufacturing,177.9
1980,"Wholesale and retail trade [41, 44-",211.2
1980,Transport & warehousing,89.2
1980,Finance & real estate,83.4
1980,Professional services,48.5
1980,Business support,22.7
1980,Education,73.6
1980,Healthcare,102.3
1980,"Info, culture & rec",49.3
1980,Accommodation & food,82.5
1980,Other services,55.6
1980,Public admin,74.4
1981,Agriculture,1.0
1981,"Forestry, mining & energy",19.5
1981,Utilities,2.4
1981,Construction,13.1
1981,Manufacturing,24.9
1981,"Wholesale and retail trade [41, 44-",30.9
1981,Transport & warehousing,10.6
1981,Finance & real estate,7.0
1981,Professional services,3.4
1981,Business support,2.4
1981,Education,16.6
1981,Healthcare,18.9
1981,"Info, culture & rec",5.5
1981,Accommodation & food,8.8
1981,Other services,7.9
1981,Public admin,13.4
1981,Agriculture,5.7
1981,"Forestry, mining & energy",2.3
1981,Utilities,0.2
1981,Construction,3.8
1981,Manufacturing,3.9
1981,"Wholesale and retail trade [41, 44-",7.5
1981,Transport & warehousing,1.9
1981,Finance & real estate,1.4
1981,Professional services,0.7
1981,Business support,0.6
1981,Education,3.1
1981,Healthcare,4.8
1981,"Info, culture & rec",1.8
1981,Accommodation & food,2.6
1981,Other services,2.9
1981,Public admin,3.9
1981,Agriculture,6.9
1981,"Forestry, mining & energy",14.8
1981,Utilities,2.5
1981,Construction,22.1
1981,Manufacturing,42.8
1981,"Wholesale and retail trade [41, 44-",60.9
1981,Transport & warehousing,16.7
1981,Finance & real estate,16.6
1981,Professional services,8.7
1981,Business support,4.6
1981,Education,25.4
1981,Healthcare,31.6
1981,"Info, culture & rec",12.3
1981,Accommodation & food,17.1
1981,Other services,15.5
1981,Public admin,29.7
1981,Agriculture,5.7
1981,"Forestry, mining & energy",12.7
1981,Utilities,4.3
1981,Construction,16.4
1981,Manufacturing,37.6
1981,"Wholesale and retail trade [41, 44-",45.8
1981,Transport & warehousing,15.8
1981,Finance & real estate,11.6
1981,Professional services,5.1
1981,Business support,3.8
1981,Education,18.8
1981,Healthcare,22.7
1981,"Info, culture & rec",8.6
1981,Accommodation & food,12.5
1981,Other services,14.9
1981,Public admin,21.3
1981,Agriculture,63.4
1981,"Forestry, mining & energy",51.6
1981,Utilities,30.9
1981,Construction,127.9
1981,Manufacturing,591.9
1981,"Wholesale and retail trade [41, 44-",447.1
1981,Transport & warehousing,162.5
1981,Finance & real estate,165.5
1981,Professional services,81.7
1981,Business support,45.6
1981,Education,192.8
1981,Healthcare,261.1
1981,"Info, culture & rec",92.6
1981,Accommodation & food,150.1
1981,Other services,142.5
1981,Public admin,184.3
1981,Agriculture,127.0
1981,"Forestry, mining & energy",69.9
1981,Utilities,51.3
1981,Construction,233.3
1981,Manufacturing,1010.5
1981,"Wholesale and retail trade [41, 44-",624.3
1981,Transport & warehousing,201.3
1981,Finance & real estate,279.3
1981,Professional services,162.0
1981,Business support,92.2
1981,Education,245.8
1981,Healthcare,337.4
1981,"Info, culture & rec",182.8
1981,Accommodation & food,224.0
1981,Other services,189.5
1981,Public admin,261.8
1981,Agriculture,42.8
1981,"Forestry, mining & energy",9.0
1981,Utilities,5.5
1981,Construction,24.1
1981,Manufacturing,61.0
1981,"Wholesale and retail trade [41, 44-",74.6
1981,Transport & warehousing,36.6
1981,Finance & real estate,24.5
1981,Professional services,12.4
1981,Business support,7.7
1981,Education,30.6
1981,Healthcare,45.7
1981,"Info, culture & rec",17.9
1981,Accommodation & food,23.5
1981,Other services,21.1
1981,Public admin,31.8
1981,Agriculture,86.2
1981,"Forestry, mining & energy",14.4
1981,Utilities,4.9
1981,Construction,29.8
1981,Manufacturing,23.0
1981,"Wholesale and retail trade [41, 44-",70.6
1981,Transport & warehousing,20.7
1981,Finance & real estate,19.5
1981,Professional services,8.1
1981,Business support,5.9
1981,Education,27.3
1981,Healthcare,38.0
1981,"Info, culture & rec",12.7
1981,Accommodation & food,21.3
1981,Other services,19.7
1981,Public admin,29.0
1981,Agriculture,78.4
1981,"Forestry, mining & energy",86.0
1981,Utilities,11.3
1981,Construction,126.5
1981,Manufacturing,108.0
1981,"Wholesale and retail trade [41, 44-",184.5
1981,Transport & warehousing,71.1
1981,Finance & real estate,65.0
1981,Professional services,53.5
1981,Business support,25.4
1981,Education,59.7
1981,Healthcare,84.1
1981,"Info, culture & rec",40.0
1981,Accommodation & food,69.4
1981,Other services,51.9
1981,Public admin,67.9
1981,Agriculture,20.5
1981,"Forestry, mining & energy",69.2
1981,Utilities,13.8
1981,Construction,110.2
1981,Manufacturing,176.4
1981,"Wholesale and retail trade [41, 44-",212.7
1981,Transport & warehousing,94.1
1981,Finance & real estate,83.7
1981,Professional services,57.8
1981,Business support,22.9
1981,Education,74.2
1981,Healthcare,104.7
1981,"Info, culture & rec",53.1
1981,Accommodation & food,84.4
1981,Other services,60.1
1981,Public admin,81.8
1982,Agriculture,1.2
1982,"Forestry, mining & energy",16.9
1982,Utilities,2.5
1982,Construction,11.7
1982,Manufacturing,21.1
1982,"Wholesale and retail trade [41, 44-",28.9
1982,Transport & warehousing,11.3
1982,Finance & real estate,7.2
1982,Professional services,2.9
1982,Business support,2.1
1982,Education,17.5
1982,Healthcare,20.7
1982,"Info, culture & rec",6.1
1982,Accommodation & food,7.8
1982,Other services,8.4
1982,Public admin,14.6
1982,Agriculture,5.5
1982,"Forestry, mining & energy",2.2
1982,Utilities,0.2
1982,Construction,3.4
1982,Manufacturing,3.2
1982,"Wholesale and retail trade [41, 44-",7.8
1982,Transport & warehousing,1.9
1982,Finance & real estate,1.7
1982,Professional services,0.8
1982,Business support,0.4
1982,Education,3.3
1982,Healthcare,4.8
1982,"Info, culture & rec",1.9
